id_evenement,date,annee,type_evenement,gravite,departement,exploitant,nb_morts,nb_blesses,cause_presumee,contexte,source
1,2010-02-11,2010,collision,grave,59,SNCF Réseau,1,7,erreur_humaine,circulation_commerciale,EPSF_synthese
2,2010-05-03,2010,incident_materiel,significatif,69,SNCF Voyageurs,0,2,defaillance_materiel,circulation_commerciale,SNCF_rapport
3,2010-09-18,2010,PN,grave,33,SNCF Réseau,2,1,obstacle_PN,PN,BEATT_rapport
4,2011-01-24,2011,deraillement,significatif,13,SNCF Réseau,0,3,defaut_infrastructure,travaux,EPSF_synthese
5,2011-04-09,2011,acte_malveillance,significatif,75,SNCF Réseau,0,0,acte_malveillance,circulation_commerciale,SNCF_rapport
6,2011-07-21,2011,incident_materiel,mineur,67,SNCF Voyageurs,0,1,defaillance_materiel,circulation_commerciale,SNCF_rapport
7,2011-11-30,2011,incendie,grave,93,SNCF Voyageurs,0,5,incendie_bord,maintenance,EPSF_synthese
8,2012-02-15,2012,PN,significatif,62,SNCF Réseau,0,2,non_respect_signalisation,PN,EPSF_synthese
9,2012-03-28,2012,collision,grave,31,SNCF Réseau,1,4,erreur_humaine,circulation_commerciale,BEATT_rapport
10,2012-06-10,2012,incident_materiel,mineur,44,SNCF Voyageurs,0,0,defaillance_freinage,essais,SNCF_rapport
11,2012-10-19,2012,deraillement,grave,76,SNCF Réseau,0,6,defaut_infrastructure,circulation_commerciale,EPSF_synthese
12,2013-01-05,2013,acte_malveillance,significatif,91,SNCF Réseau,0,1,vol_cable,maintenance,SNCF_rapport
13,2013-03-22,2013,PN,grave,17,SNCF Réseau,1,3,obstacle_PN,PN,BEATT_rapport
14,2013-07-12,2013,deraillement,grave,91,SNCF Réseau,7,32,defaut_infrastructure,circulation_commerciale,BEATT_rapport
15,2013-09-03,2013,incident_materiel,significatif,69,SNCF Voyageurs,0,2,defaillance_signalisation,circulation_commerciale,SNCF_rapport
16,2014-02-18,2014,collision,significatif,33,SNCF Réseau,0,4,non_respect_signalisation,circulation_commerciale,EPSF_synthese
17,2014-05-27,2014,incendie,significatif,75,RATP,0,3,incendie_bord,circulation_commerciale,SNCF_rapport
18,2014-08-09,2014,PN,significatif,59,SNCF Réseau,0,1,obstacle_PN,PN,EPSF_synthese
19,2014-11-16,2014,incident_materiel,mineur,38,SNCF Voyageurs,0,0,defaillance_materiel,maintenance,SNCF_rapport
20,2015-01-29,2015,deraillement,significatif,73,SNCF Réseau,0,2,defaut_infrastructure,travaux,EPSF_synthese
21,2015-03-11,2015,collision,grave,31,SNCF Réseau,1,5,erreur_humaine,circulation_commerciale,BEATT_rapport
22,2015-06-02,2015,acte_malveillance,significatif,93,SNCF Réseau,0,0,jet_de_projectiles,circulation_commerciale,SNCF_rapport
23,2015-11-14,2015,deraillement,grave,67,SNCF Réseau,11,37,excès_vitesse,essais,BEATT_rapport
24,2016-02-07,2016,PN,grave,62,SNCF Réseau,1,2,non_respect_signalisation,PN,EPSF_synthese
25,2016-04-19,2016,incident_materiel,significatif,44,SNCF Voyageurs,0,1,defaillance_freinage,circulation_commerciale,SNCF_rapport
26,2016-07-03,2016,incendie,significatif,13,SNCF Voyageurs,0,2,incendie_bord,circulation_commerciale,EPSF_synthese
27,2016-10-21,2016,collision,significatif,76,SNCF Réseau,0,3,defaillance_signalisation,circulation_commerciale,SNCF_rapport
28,2017-01-13,2017,PN,grave,66,SNCF Réseau,4,17,obstacle_PN,PN,BEATT_rapport
29,2017-03-30,2017,incident_materiel,mineur,75,RATP,0,0,defaillance_materiel,maintenance,SNCF_rapport
30,2017-06-18,2017,deraillement,significatif,33,SNCF Réseau,0,4,defaut_infrastructure,circulation_commerciale,EPSF_synthese
31,2017-09-07,2017,acte_malveillance,significatif,91,SNCF Réseau,0,1,vol_cable,maintenance,SNCF_rapport
32,2018-02-02,2018,collision,grave,59,SNCF Réseau,2,6,erreur_humaine,circulation_commerciale,BEATT_rapport
