id_evenement,date,annee,type_evenement,gravite,departement,exploitant,nb_morts,nb_blesses,cause_presumee,contexte,source
1,2024-05-05,2024,collision,significatif,44,SNCF Réseau,1,7,erreur_humaine,circulation_commerciale,EPSF_synthese
2,2012-04-19,2012,incendie,significatif,72,RATP,0,2,acte_malveillance,circulation_commerciale,EPSF_synthese
3,2010-09-02,2010,collision,mineur,87,SNCF Voyageurs,0,0,non_respect_signalisation,circulation_commerciale,EPSF_synthese
4,2022-08-03,2022,incident_materiel,mineur,86,SNCF Voyageurs,0,0,defaut_infrastructure,circulation_commerciale,SNCF_rapport
5,2010-02-23,2010,incident_materiel,significatif,34,SNCF Voyageurs,0,7,defaut_infrastructure,maintenance,EPSF_synthese
6,2017-07-20,2017,collision,grave,64,SNCF Réseau,0,21,erreur_humaine,circulation_commerciale,SNCF_rapport
7,2023-07-17,2023,PN,grave,31,SNCF Réseau,1,25,obstacle_PN,PN,SNCF_rapport
8,2011-10-08,2011,acte_malveillance,mineur,38,RATP,0,0,vol_cable,PN,BEATT_rapport
9,2011-07-24,2011,collision,mineur,44,SNCF Réseau,0,0,non_respect_signalisation,circulation_commerciale,EPSF_synthese
10,2018-07-11,2018,PN,significatif,66,SNCF Réseau,0,2,non_respect_signalisation,PN,SNCF_rapport
11,2014-09-13,2014,incendie,significatif,91,RATP,1,8,defaillance_materiel,circulation_commerciale,EPSF_synthese
12,2021-12-24,2021,incendie,mineur,67,SNCF Voyageurs,0,0,incendie_bord,circulation_commerciale,SNCF_rapport
13,2024-05-09,2024,incendie,mineur,62,RATP,0,0,acte_malveillance,circulation_commerciale,EPSF_synthese
14,2015-02-20,2015,collision,grave,21,SNCF Réseau,5,9,excès_vitesse,circulation_commerciale,EPSF_synthese
15,2022-09-21,2022,incendie,mineur,77,RATP,0,0,defaillance_materiel,circulation_commerciale,SNCF_rapport
16,2024-06-02,2024,deraillement,significatif,45,SNCF Réseau,0,7,excès_vitesse,circulation_commerciale,BEATT_rapport
17,2022-08-04,2022,acte_malveillance,mineur,69,RATP,0,2,vol_cable,PN,SNCF_rapport
18,2014-12-02,2014,incident_materiel,mineur,31,SNCF Voyageurs,0,0,defaut_infrastructure,circulation_commerciale,EPSF_synthese
19,2024-01-28,2024,incident_materiel,mineur,67,SNCF Voyageurs,0,0,defaut_infrastructure,essais,SNCF_rapport
20,2023-05-14,2023,deraillement,significatif,94,SNCF Réseau,0,1,defaillance_materiel,maintenance,BEATT_rapport
21,2012-07-27,2012,incendie,grave,63,RATP,5,36,acte_malveillance,maintenance,EPSF_synthese
22,2016-08-01,2016,deraillement,significatif,51,SNCF Réseau,1,7,excès_vitesse,circulation_commerciale,BEATT_rapport
23,2014-01-03,2014,acte_malveillance,significatif,78,RATP,0,7,acte_malveillance,PN,BEATT_rapport
24,2014-06-18,2014,incident_materiel,significatif,80,RATP,0,4,defaillance_signalisation,circulation_commerciale,EPSF_synthese
25,2023-06-08,2023,PN,grave,66,SNCF Réseau,5,29,non_respect_signalisation,PN,SNCF_rapport
26,2015-05-16,2015,collision,grave,77,SNCF Réseau,0,7,non_respect_signalisation,circulation_commerciale,EPSF_synthese
27,2021-12-12,2021,incident_materiel,mineur,84,SNCF Voyageurs,0,0,defaillance_freinage,essais,EPSF_synthese
28,2015-12-12,2015,acte_malveillance,mineur,83,SNCF Réseau,0,0,jet_de_projectiles,PN,BEATT_rapport
29,2014-07-06,2014,incendie,mineur,92,RATP,0,1,defaillance_materiel,maintenance,SNCF_rapport
30,2019-10-29,2019,acte_malveillance,significatif,44,SNCF Réseau,0,9,vol_cable,circulation_commerciale,EPSF_synthese
31,2017-08-01,2017,collision,significatif,21,SNCF Réseau,0,6,non_respect_signalisation,circulation_commerciale,BEATT_rapport
32,2024-02-26,2024,collision,grave,63,SNCF Réseau,1,33,non_respect_signalisation,circulation_commerciale,EPSF_synthese
33,2021-07-13,2021,incident_materiel,mineur,42,SNCF Voyageurs,0,0,defaillance_signalisation,essais,BEATT_rapport
34,2012-12-19,2012,incendie,significatif,76,SNCF Voyageurs,0,7,acte_malveillance,maintenance,SNCF_rapport
35,2014-04-09,2014,collision,significatif,72,SNCF Réseau,0,2,erreur_humaine,circulation_commerciale,SNCF_rapport
36,2020-06-22,2020,incendie,mineur,69,SNCF Voyageurs,0,1,incendie_bord,circulation_commerciale,BEATT_rapport
37,2017-08-11,2017,collision,grave,83,SNCF Réseau,1,14,non_respect_signalisation,circulation_commerciale,SNCF_rapport
38,2013-02-22,2013,deraillement,significatif,45,SNCF Voyageurs,0,9,excès_vitesse,circulation_commerciale,EPSF_synthese
39,2019-12-10,2019,acte_malveillance,mineur,83,RATP,0,0,acte_malveillance,circulation_commerciale,EPSF_synthese
40,2012-02-04,2012,incident_materiel,mineur,76,SNCF Voyageurs,0,0,defaillance_freinage,maintenance,EPSF_synthese
41,2018-12-30,2018,collision,significatif,67,SNCF Réseau,0,4,non_respect_signalisation,circulation_commerciale,SNCF_rapport
42,2020-03-16,2020,PN,significatif,38,SNCF Réseau,0,3,non_respect_signalisation,PN,SNCF_rapport
43,2014-11-19,2014,collision,grave,17,SNCF Réseau,1,22,erreur_humaine,circulation_commerciale,BEATT_rapport
44,2020-09-10,2020,acte_malveillance,grave,78,SNCF Réseau,1,6,jet_de_projectiles,circulation_commerciale,EPSF_synthese
45,2014-03-03,2014,collision,significatif,31,SNCF Réseau,0,3,erreur_humaine,circulation_commerciale,BEATT_rapport
46,2015-07-10,2015,acte_malveillance,grave,25,RATP,1,28,jet_de_projectiles,circulation_commerciale,SNCF_rapport
47,2024-09-29,2024,acte_malveillance,significatif,42,SNCF Voyageurs,1,0,jet_de_projectiles,PN,BEATT_rapport
48,2017-01-17,2017,incident_materiel,mineur,93,SNCF Voyageurs,0,0,defaillance_signalisation,maintenance,BEATT_rapport
49,2016-09-23,2016,deraillement,grave,75,SNCF Réseau,3,39,defaillance_materiel,travaux,BEATT_rapport
50,2022-08-18,2022,collision,significatif,51,SNCF Voyageurs,0,4,erreur_humaine,circulation_commerciale,EPSF_synthese
51,2017-10-30,2017,collision,grave,35,SNCF Réseau,0,24,non_respect_signalisation,circulation_commerciale,SNCF_rapport
52,2022-03-09,2022,incendie,grave,84,RATP,0,32,defaillance_materiel,circulation_commerciale,SNCF_rapport
53,2024-11-17,2024,collision,grave,30,SNCF Réseau,1,12,non_respect_signalisation,circulation_commerciale,BEATT_rapport
54,2022-05-30,2022,incident_materiel,mineur,42,RATP,0,0,defaillance_signalisation,maintenance,BEATT_rapport
55,2017-09-09,2017,incident_materiel,mineur,51,SNCF Voyageurs,0,0,defaillance_signalisation,essais,EPSF_synthese
56,2012-01-27,2012,incendie,mineur,6,SNCF Voyageurs,0,0,defaillance_materiel,maintenance,SNCF_rapport
57,2012-12-07,2012,incendie,significatif,73,RATP,0,4,defaillance_materiel,circulation_commerciale,BEATT_rapport
58,2019-08-05,2019,acte_malveillance,mineur,95,SNCF Réseau,0,0,acte_malveillance,circulation_commerciale,EPSF_synthese
59,2022-03-28,2022,collision,grave,33,SNCF Réseau,1,26,excès_vitesse,circulation_commerciale,EPSF_synthese
60,2016-11-30,2016,PN,grave,94,SNCF Réseau,0,4,obstacle_PN,PN,EPSF_synthese
61,2024-12-16,2024,collision,mineur,34,SNCF Voyageurs,0,0,excès_vitesse,circulation_commerciale,EPSF_synthese
62,2013-08-24,2013,incident_materiel,mineur,63,SNCF Voyageurs,0,1,defaut_infrastructure,circulation_commerciale,SNCF_rapport
